What is the estimated latency to load $750 \text{ MB}$ of evicted weights from a disk at $7 \text{ GB/s}$?,Roughly $107 \text{ milliseconds}$
What defines the 'bunk bed' analogy used to describe llama.cpp memory management?,The ability to offload specific tasks to an accelerator while keeping the primary weights in RAM.
True or False: LLM weights are typically stored on an SSD but must be moved higher in the memory hierarchy to do meaningful work.,True
What is the largest file usually found in a Gemma or Qwen model download?,"The weights file (e.g., `model.safetensors`), which can be $15 \text{ GB}$ or larger."
"Which inference engine utilizes Rust, C++, and Python together?",TGI (Text Generation Inference)
"In quantization, what does 'dimensionality reduction' specifically refer to?",Reducing the bit-precision of the numerical values in the weight tensors.
What is the advantage of 'Symmetric' quantization in terms of storage?,"It only needs to store one scale value per group, making it more memory efficient than asymmetric methods."
"In K-quants, which layers are typically left at higher precision because they are most sensitive?",Normalization layers
How does a calibration dataset assist in the quantization process?,"It provides a representative sample of data to measure how weights react during inference, identifying those that need high precision."
What is 'Perplexity' in the context of evaluating quantization methods?,A measurement of how well a probability distribution or model predicts a sample (lower is generally better).
What is the role of an 'Inference Engine'?,To load the model artifacts and manage the hardware execution of the model to generate outputs.
How does the 'scale' help during the dequantization process?,It is used to multiply the low-precision integer back into a floating-point range close to the original BF-16 value.
What is the primary difference between Q4_K_S and Q4_K_M?,"Q4_K_S quantizes all parts to 4-bit (except normalization), while Q4_K_M uses 6-bit for critical projections."
Why is GPU memory bandwidth faster than the SSD-to-RAM connection?,Bandwidth typically increases as you move higher up the memory hierarchy chain.
"In quantization, 'Per Channel' and 'Per Group' refer to different ways of _____.",Grouping weights to calculate a normalization scale.
The standard approach where every value is rounded regardless of its impact on the output is called _____ quantization.,Uniform (or Naive)
Which hardware architecture is required to natively run 'Blackwell' specific quantizations?,NVFP4
Which metric is used to compare the speed of different inference engines in the source video?,Tokens per second
Why is the `config.json` considered the 'nine yards' of the model architecture?,"It contains all critical architectural details, such as heads, layers, and attention types, in one place."
